Year,Value,Units,Bacteria,Topic,ViewBy,ViewBy2
1997,15000,Counts,group B Streptococcus,Number of cases and deaths,Overall,Number of survivals
1997,1600,Counts,group B Streptococcus,Number of cases and deaths,Overall,Number of deaths
1997,16600,Counts,group B Streptococcus,Number of cases and deaths,Overall,Total cases
1997,2600,Counts,group B Streptococcus,Number of cases and deaths,Infants,Early-onset cases
1997,1300,Counts,group B Streptococcus,Number of cases and deaths,Infants,Late-onset cases
1997,6.2,"Per 100,000 population",group B Streptococcus,Case rates,Overall,
1997,6.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,Overall
1997,115.7,"Per 100,000 population",group B Streptococcus,Case rates,Age,<1 year old
1997,1.4,"Per 100,000 population",group B Streptococcus,Case rates,Age,1 year old
1997,0.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,2-4 years old
1997,0.3,"Per 100,000 population",group B Streptococcus,Case rates,Age,5-17 years old
1997,1.8,"Per 100,000 population",group B Streptococcus,Case rates,Age,18-34 years old
1997,3.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,35-49 years old
1997,7.2,"Per 100,000 population",group B Streptococcus,Case rates,Age,50-64 years old
1997,20.7,"Per 100,000 population",group B Streptococcus,Case rates,Age,≥65 years old
1997,6.2,"Per 100,000 population",group B Streptococcus,Case rates,Race,Overall
1997,5.4,"Per 100,000 population",group B Streptococcus,Case rates,Race,White
1997,10.9,"Per 100,000 population",group B Streptococcus,Case rates,Race,Black
1997,2.2,"Per 100,000 population",group B Streptococcus,Case rates,Race,Other races
1997,0.7,"Per 1,000 live birth",group B Streptococcus,Case rates,"Infants, early and late-onset",Early-onset
1997,0.4,"Per 1,000 live birth",group B Streptococcus,Case rates,"Infants, early and late-onset",Late-onset
1997,0.7,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Overall
1997,0.6,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",White
1997,1.2,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Black
1997,0.2,"Per 1,000 live birth",group B Streptococcus,Case rates,"Early-onset, by race",Other races
1997,0.4,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Overall
1997,0.3,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",White
1997,0.7,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Black
1997,0.05,"Per 1,000 live birth",group B Streptococcus,Case rates,"Late-onset, by race",Other races
1997,0.6,"Per 100,000 population",group B Streptococcus,Death Rates,Overall,
1997,0.6,"Per 100,000 population",group B Streptococcus,Death Rates,Age,Overall
1997,3.1,"Per 100,000 population",group B Streptococcus,Death Rates,Age,<1 year old
1997,0,"Per 100,000 population",group B Streptococcus,Death Rates,Age,1 year old
